mal_id,Title,English Title,Japanese Title,Episodes,Release Year,Status,Air Date,Genres,Themes,Demographics,Studio,Producers,Synopsis,Rating,Voters,Popularity,Rank,Members,Favorites,Content Rating,Source,Duration,URL,Image URL
16498,Shingeki no Kyojin,Attack on Titan,進撃の巨人,25,2013,Finished Airing,"Apr 7, 2013 to Sep 29, 2013","Action, Award Winning, Drama, Suspense","Gore, Military, Survival",Shounen,Wit Studio,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Pony Canyon Enterprises","Centuries ago, mankind was slaughtered to near extinction by monstrous humanoid creatures called Titans, forcing humans to hide in fear behind enormous concentric walls. What makes these giants truly terrifying is that their taste for human flesh is not born out of hunger but what appears to be out of pleasure. To ensure their survival, the remnants of humanity began living within defensive barriers, resulting in one hundred years without a single titan encounter. However, that fragile calm is soon shattered when a colossal Titan manages to breach the supposedly impregnable outer wall, reigniting the fight for survival against the man-eating abominations.

After witnessing a horrific personal loss at the hands of the invading creatures, Eren Yeager dedicates his life to their eradication by enlisting into the Survey Corps, an elite military unit that combats the merciless humanoids outside the protection of the walls. Eren, his adopted sister Mikasa Ackerman, and his childhood friend Armin Arlert join the brutal war against the Titans and race to discover a way of defeating them before the last walls are breached.

[Written by MAL Rewrite]",8.57,3026345,1,120.0,4298185,186374,R - 17+ (violence & profanity),Manga,24 min per ep,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,https://cdn.myanimelist.net/images/anime/10/47347l.jpg
1535,Death Note,Death Note,デスノート,37,2006,Finished Airing,"Oct 4, 2006 to Jun 27, 2007","Supernatural, Suspense",Psychological,Shounen,Madhouse,"VAP, Nippon Television Network, Shueisha, D.N. Dream Partners","Brutal murders, petty thefts, and senseless violence pollute the human world. In contrast, the realm of death gods is a humdrum, unchanging gambling den. The ingenious 17-year-old Japanese student Light Yagami and sadistic god of death Ryuk share one belief: their worlds are rotten.

For his own amusement, Ryuk drops his Death Note into the human world. Light stumbles upon it, deeming the first of its rules ridiculous: the human whose name is written in this note shall die. However, the temptation is too great, and Light experiments by writing a felon's name, which disturbingly enacts his first murder.

Aware of the terrifying godlike power that has fallen into his hands, Light—under the alias Kira—follows his wicked sense of justice with the ultimate goal of cleansing the world of all evil-doers. The meticulous mastermind detective L is already on his trail, but as Light's brilliance rivals L's, the grand chase for Kira turns into an intense battle of wits that can only end when one of them is dead.

[Written by MAL Rewrite]",8.62,2966082,2,97.0,4238704,184043,R - 17+ (violence & profanity),Manga,23 min per ep,https://myanimelist.net/anime/1535/Death_Note,https://cdn.myanimelist.net/images/anime/1079/138100l.jpg
5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,64,2009,Finished Airing,"Apr 5, 2009 to Jul 4, 2010","Action, Adventure, Drama, Fantasy",Military,Shounen,Bones,"Aniplex, Square Enix, Mainichi Broadcasting System, Techno Sound","After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor.

The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange.

As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world.

[Written by MAL Rewrite]",9.1,2281622,3,4.0,3631217,239873,R - 17+ (violence & profanity),Manga,24 min per ep,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,https://cdn.myanimelist.net/images/anime/1208/94745l.jpg
30276,One Punch Man,One-Punch Man,ワンパンマン,12,2015,Finished Airing,"Oct 5, 2015 to Dec 21, 2015","Action, Comedy","Adult Cast, Parody, Super Power",Seinen,Madhouse,"TV Tokyo, Bandai Visual, Lantis, Asatsu DK, Banpresto, Good Smile Company, Shueisha, JR East Marketing & Communications","The seemingly unimpressive Saitama has a rather unique hobby: being a hero. In order to pursue his childhood dream, Saitama relentlessly trained for three years, losing all of his hair in the process. Now, Saitama is so powerful, he can defeat any enemy with just one punch. However, having no one capable of matching his strength has led Saitama to an unexpected problem—he is no longer able to enjoy the thrill of battling and has become quite bored.

One day, Saitama catches the attention of 19-year-old cyborg Genos, who witnesses his power and wishes to become Saitama's disciple. Genos proposes that the two join the Hero Association in order to become certified heroes that will be recognized for their positive contributions to society. Saitama, who is shocked that no one knows who he is, quickly agrees. Meeting new allies and taking on new foes, Saitama embarks on a new journey as a member of the Hero Association to experience the excitement of battle he once felt.

[Written by MAL Rewrite]",8.48,2398281,4,168.0,3480367,66328,R - 17+ (violence & profanity),Web manga,24 min per ep,https://myanimelist.net/anime/30276/One_Punch_Man,https://cdn.myanimelist.net/images/anime/12/76049l.jpg
38000,Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,鬼滅の刃,26,2019,Finished Airing,"Apr 6, 2019 to Sep 28, 2019","Action, Award Winning, Supernatural",Historical,Shounen,ufotable,"Aniplex, Studio Mausu, Shueisha","Ever since the death of his father, the burden of supporting the family has fallen upon Tanjirou Kamado's shoulders. Though living impoverished on a remote mountain, the Kamado family are able to enjoy a relatively peaceful and happy life. One day, Tanjirou decides to go down to the local village to make a little money selling charcoal. On his way back, night falls, forcing Tanjirou to take shelter in the house of a strange man, who warns him of the existence of flesh-eating demons that lurk in the woods at night.

When he finally arrives back home the next day, he is met with a horrifying sight—his whole family has been slaughtered. Worse still, the sole survivor is his sister Nezuko, who has been turned into a bloodthirsty demon. Consumed by rage and hatred, Tanjirou swears to avenge his family and stay by his only remaining sibling. Alongside the mysterious group calling themselves the Demon Slayer Corps, Tanjirou will do whatever it takes to slay the demons and protect the remnants of his beloved sister's humanity.

[Written by MAL Rewrite]",8.41,2328402,5,216.0,3391638,94478,R - 17+ (violence & profanity),Manga,23 min per ep,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba,https://cdn.myanimelist.net/images/anime/1286/99889l.jpg
11757,Sword Art Online,Sword Art Online,ソードアート・オンライン,25,2012,Finished Airing,"Jul 8, 2012 to Dec 23, 2012","Action, Adventure, Fantasy, Romance",Video Game,N/A,A-1 Pictures,"Aniplex, Genco, DAX Production, ASCII Media Works, Bandai Namco Games","Ever since the release of the innovative NerveGear, gamers from all around the globe have been given the opportunity to experience a completely immersive virtual reality. Sword Art Online (SAO), one of the most recent games on the console, offers a gateway into the wondrous world of Aincrad, a vivid, medieval landscape where users can do anything within the limits of imagination. With the release of this worldwide sensation, gaming has never felt more lifelike.

However, the idyllic fantasy rapidly becomes a brutal nightmare when SAO's creator traps thousands of players inside the game. The ""log-out"" function has been removed, with the only method of escape involving beating all of Aincrad's one hundred increasingly difficult levels. Adding to the struggle, any in-game death becomes permanent, ending the player's life in the real world.

While Kazuto ""Kirito"" Kirigaya was fortunate enough to be a beta-tester for the game, he quickly finds that despite his advantages, he cannot overcome SAO's challenges alone. Teaming up with Asuna Yuuki and other talented players, Kirito makes an effort to face the seemingly insurmountable trials head-on. But with difficult bosses and threatening dark cults impeding his progress, Kirito finds that such tasks are much easier said than done.

[Written by MAL Rewrite]",7.22,2261980,6,3411.0,3267426,70698,PG-13 - Teens 13 or older,Light novel,23 min per ep,https://myanimelist.net/anime/11757/Sword_Art_Online,https://cdn.myanimelist.net/images/anime/11/39717l.jpg
31964,Boku no Hero Academia,My Hero Academia,僕のヒーローアカデミア,13,2016,Finished Airing,"Apr 3, 2016 to Jun 26, 2016",Action,"School, Super Power",Shounen,Bones,"Dentsu, Mainichi Broadcasting System, Movic, TOHO animation, Shueisha","The appearance of ""quirks,"" newly discovered super powers, has been steadily increasing over the years, with 80 percent of humanity possessing various abilities from manipulation of elements to shapeshifting. This leaves the remainder of the world completely powerless, and Izuku Midoriya is one such individual.

Since he was a child, the ambitious middle schooler has wanted nothing more than to be a hero. Izuku's unfair fate leaves him admiring heroes and taking notes on them whenever he can. But it seems that his persistence has borne some fruit: Izuku meets the number one hero and his personal idol, All Might. All Might's quirk is a unique ability that can be inherited, and he has chosen Izuku to be his successor!

Enduring many months of grueling training, Izuku enrolls in UA High, a prestigious high school famous for its excellent hero training program, and this year's freshmen look especially promising. With his bizarre but talented classmates and the looming threat of a villainous organization, Izuku will soon learn what it really means to be a hero.

[Written by MAL Rewrite]",7.83,2213695,7,1029.0,3263225,54808,PG-13 - Teens 13 or older,Manga,24 min per ep,https://myanimelist.net/anime/31964/Boku_no_Hero_Academia,https://cdn.myanimelist.net/images/anime/10/78745l.jpg
11061,Hunter x Hunter (2011),Hunter x Hunter,HUNTER×HUNTER（ハンター×ハンター）,148,2011,Finished Airing,"Oct 2, 2011 to Sep 24, 2014","Action, Adventure, Fantasy",N/A,Shounen,Madhouse,"VAP, Nippon Television Network, Shueisha","Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world's uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination—a high-risk selection process in which most applicants end up handicapped or worse, deceased.

Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will meet his father by becoming a Hunter, Gon takes the first step to walk the same path.

During the Hunter Examination, Gon befriends the medical student Leorio Paladiknight, the vindictive Kurapika, and ex-assassin Killua Zoldyck. While their motives vastly differ from each other, they band together for a common goal and begin to venture into a perilous world.

[Written by MAL Rewrite]",9.03,1948550,8,9.0,3137306,226924,PG-13 - Teens 13 or older,Manga,23 min per ep,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,https://cdn.myanimelist.net/images/anime/1337/99013l.jpg
20,Naruto,Naruto,ナルト,220,2002,Finished Airing,"Oct 3, 2002 to Feb 8, 2007","Action, Adventure, Fantasy",Martial Arts,Shounen,Studio Pierrot,"TV Tokyo, Aniplex","Twelve years ago, a colossal demon fox terrorized the world. During the monster's attack on the Hidden Leaf Village, the Hokage—the village's leader and most powerful ninja—sacrifices himself to seal the beast inside a newborn, relieving civilization from destruction while dooming the baby to a lonely life.

Now, after years of being shunned and bullied, Naruto Uzumaki pesters the village with elaborate pranks and vandalism. Despite these antics, he works hard to achieve his dream: to become the Hokage and earn the acknowledgement of those who have mistreated him for his entire life. Naruto joins Team 7, a ninja squad made up of two of his peers—prodigy Sasuke Uchiha and clever Sakura Haruno.

Under the aloof Kakashi Hatake's leadership, Team 7 takes on a series of difficult missions, forcing its members to grow in strength and comradery despite their many differences. Naruto strives to stand out in his rivalry with Sasuke and earn the romantic affection of Sakura. But as the trio brush against danger and death, their tragic pasts threaten to tear them apart.

[Written by MAL Rewrite]",8.02,2116968,9,684.0,3078193,85471,PG-13 - Teens 13 or older,Manga,23 min per ep,https://myanimelist.net/anime/20/Naruto,https://cdn.myanimelist.net/images/anime/1141/142503l.jpg
22319,Tokyo Ghoul,Tokyo Ghoul,東京喰種-トーキョーグール-,12,2014,Finished Airing,"Jul 4, 2014 to Sep 19, 2014","Action, Fantasy, Horror, Suspense","Gore, Psychological, Urban Fantasy",Seinen,Studio Pierrot,"Marvelous AQL, TC Entertainment, Shueisha","A sinister threat is invading Tokyo: flesh-eating ""ghouls"" who appear identical to humans and blend into their population. Reserved college student Ken Kaneki buries his nose in books and avoids the news of the growing crisis. However, the appearance of an attractive woman named Rize Kamishiro shatters his solitude when she forwardly asks him on a date.

While walking Rize home, Kaneki discovers she isn't as kind as she first appeared, and she has led him on with sinister intent. After a tragic struggle, he later awakens in a hospital to learn his life was saved by transplanting the now deceased Rize's organs into his own body.

Kaneki's body begins to change in horrifying ways, and he transforms into a human-ghoul hybrid. As he embarks on his new dreadful journey, Kaneki clings to his humanity in the evolving bloody conflict between society's new monsters and the government agents who hunt them.

[Written by MAL Rewrite]",7.79,1983175,10,1134.0,3022230,52676,R - 17+ (violence & profanity),Manga,24 min per ep,https://myanimelist.net/anime/22319/Tokyo_Ghoul,https://cdn.myanimelist.net/images/anime/1498/134443l.jpg
